2023-03-22 15:36:34.058 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9979989528656006 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:34.351 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9979991912841797 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:34.618 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9979994297027588 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:34.879 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980022311210632 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:35.147 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980016350746155 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:35.426 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980018734931946 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:35.724 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980002045631409 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:36.005 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980012774467468 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:36.292 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980009198188782 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:36.558 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980031251907349 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:36.816 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998001217842102 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:37.058 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998002827167511 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:37.301 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980032444000244 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:37.538 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980035424232483 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:37.783 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980032444000244 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:38.037 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980028867721558 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:38.289 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980035424232483 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:38.576 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980046153068542 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:38.826 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980035424232483 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:39.110 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980032444000244 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:39.373 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980020523071289 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:39.609 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980040192604065 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:39.846 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980031251907349 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:40.108 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980032444000244 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:40.351 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980015158653259 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:40.596 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980024099349976 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:40.830 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980031847953796 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:41.062 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980021715164185 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:41.306 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980018138885498 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:41.554 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980028867721558 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:41.789 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980018138885498 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:42.038 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980031847953796 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:42.278 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980028867721558 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:42.515 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980028867721558 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:42.749 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980025887489319 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:42.992 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980029463768005 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:43.230 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980028867721558 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:43.468 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980025887489319 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:43.722 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980028867721558 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:43.990 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980025887489319 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:44.281 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980015158653259 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:44.554 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980015158653259 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:44.824 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980025887489319 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:45.114 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980031251907349 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:45.363 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980025887489319 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:45.626 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980020523071289 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:45.915 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998001217842102 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:46.158 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980033040046692 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:46.416 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980033040046692 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:46.676 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980025887489319 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:46.938 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980028867721558 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:47.188 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980015158653259 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:47.433 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980025887489319 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:47.675 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980028867721558 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:47.929 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998001217842102 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:48.179 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998008131980896 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:48.423 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998005211353302 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:48.646 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980049729347229 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:48.888 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980039000511169 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:49.151 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980074763298035 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:49.397 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980077147483826 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:49.669 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.99800705909729 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:49.920 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980053901672363 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:50.169 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998005747795105 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:50.417 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980053901672363 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:50.675 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980056881904602 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:50.932 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980050325393677 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:51.191 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980062246322632 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:51.447 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980053901672363 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:51.700 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980067610740662 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:51.962 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980058073997498 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:52.201 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980069994926453 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:52.476 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980061054229736 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:52.731 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998005747795105 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:52.981 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980067610740662 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:53.248 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980069994926453 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:53.488 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980060458183289 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:53.726 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980051517486572 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:53.986 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980061054229736 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:54.253 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998005747795105 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:54.545 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980061054229736 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:54.841 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980042576789856 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:55.124 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998005211353302 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:55.399 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980067610740662 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:55.666 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980082511901855 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:55.928 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980089068412781 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:56.193 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983377456665039 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:56.446 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998350977897644 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:56.707 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983441829681396 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:56.994 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983423948287964 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:57.266 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983431100845337 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:57.548 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998343825340271 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:57.825 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983431100845337 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:58.094 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998343825340271 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:58.345 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983451962471008 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:58.600 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983433485031128 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:58.845 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983422756195068 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:59.104 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983436465263367 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:59.347 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983429312705994 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:59.597 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983450174331665 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:36:59.878 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983429312705994 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:37:00.173 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983447790145874 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:37:00.442 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983447790145874 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:37:00.716 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983447790145874 位置 (73, 890) 缩放类型 none 缩放比例 1
2023-03-22 15:37:01.048 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.8629304766654968 位置 (81, 893) 缩放类型 tpl 缩放比例 0.99
2023-03-22 15:37:01.325 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.8206022381782532 位置 (202, 930) 缩放类型 tpl 缩放比例 0.69
2023-03-22 15:37:01.330 | INFO     | scripts.marked.marked_calculate:__file_idx_to_frame_idx:60 - _file_idx_to_frame_idx：125 >> 00000126
2023-03-22 15:37:01.330 | INFO     | scripts.marked.marked_calculate:__get_file_list:51 - 一共 365 个视频帧画面
2023-03-22 15:37:01.330 | INFO     | scripts.marked.marked_calculate:__run_search:79 - 目标帧：cos1679470585/DocumentOpenFileQBTests_testDocumentOpenFileQB1mWordTimeConsuming_1679470582/end.png
2023-03-22 15:37:01.574 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.4150395393371582 位置 (219, 1321) 缩放类型 tpl 缩放比例 0.63
2023-03-22 15:37:01.810 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.4060251712799072 位置 (254, 1309) 缩放类型 tpl 缩放比例 0.63
