2023-03-14 17:48:21.362 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985218048095703 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:21.628 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985225200653076 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:21.871 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985238313674927 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:22.116 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985232353210449 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:22.360 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985223412513733 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:22.598 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998521089553833 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:22.832 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985211491584778 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:23.096 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985218048095703 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:23.360 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985218048095703 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:23.617 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985216856002808 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:23.865 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985218048095703 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:24.164 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985218048095703 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:24.442 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985218048095703 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:24.701 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985232353210449 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:24.952 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985223412513733 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:25.203 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985218048095703 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:25.451 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985224604606628 位置 (238, 890) 缩放类型 none 缩放比例 1
